word1,word2,word3,count
cover,item,reprint,35
item,reprint,article,35
science,government,linguistics,34
new,york,london,34
religious,study,theology,34
sociology,law,politics,34
center,category,theory,34
face,sociological,concept,34
settlement,occupied,territory,34
judaism,political,science,33
archaeology,political,science,33
law,media,study,33
middle,east,north,33
law,public,administration,33
sociology,religious,study,33
political,science,arab,33
archaeology,computer,science,33
report,israeli,settlement,33
economic,history,sociology,32
israel,defense,force,32
science,law,computer,32
political,science,arab–,32
science,arab–,israeli,32
june,1967,war,32
theology,political,science,32
international,court,justice,32
human,right,violation,32
political,science,public,32
foundation,middle,east,32
update,conflict,diplomacy,32
settlement,finance,section,32
finance,section,typography,32
economy,development,economics,31
human,right,organization,31
gender,study,history,31
east,north,africa,31
economy,law,sociology,31
law,economics,sociology,31
middle,east,law,31
history,arab,israeli,31
law,human,right,31
source,material,arab,31
material,arab,document,31
section,draw,material,31
draw,material,write,31
material,write,report,31
write,report,israeli,31
settlement,report,washington,31
report,washington,base,31
east,peace,jps,31
foundation,permission,draw,31
permission,draw,material,31
economy,ancient,history,30
science,computer,security,30
science,social,psychology,30
music,political,science,30
law,gender,study,30
history,geography,history,30
refugee,political,science,30
israel,west,bank,30
modern,middle,east,30
israeli,supreme,court,30
arab,world,view,30
publish,foundation,middle,30
foreign,policy,political,29
history,law,ancient,29
university,press,1996,29
journal,international,law,29
university,press,1990,29
political,science,anthropology,29
identity,music,sociology,29
arab,minority,israel,29
power,physics,political,29
public,administration,sociology,29
conflict,middle,east,29
ben,gurion,university,29
palestine,state,computer,29
occupy,west,bank,29
middle,east,arab,29
typography,political,science,29
measure,theory,political,29
section,aim,give,29
aim,give,reader,29
how,arab,world,29
world,view,current,29
view,current,event,29
current,event,affect,29
affect,palestinian,arab,29
israeli,conflict,present,29
conflict,present,selection,29
mainstream,daily,arab,29
daily,arab,world,29
permission,reprint,material,29
science,foreign,policy,28
computer,science,mathematics,28
political,economy,development,28
development,economics,sociology,28
university,press,2005,28
international,criminal,court,28
social,science,law,28
study,political,economy,28
policy,middle,east,28
study,law,sociology,28
settlement,activity,gaza,28
activity,gaza,strip,28
state,item,write,28
abstract,section,include,28
political,science,foreign,27
political,economy,ancient,27
science,power,physics,27
middle,east,conflict,27
political,science,government,27
israel,palestine,conflict,27
university,press,2004,27
study,media,study,27
science,palestine,ancient,27
history,theology,philosophy,27
sociology,history,ancient,27
public,international,law,27
science,content,measure,27
regional,international,event,27
international,event,affect,27
book,review,report,27
review,report,receive,27
politics,political,economy,26
ancient,history,art,26
second,world,war,26
political,science,aesthetics,26
political,science,classics,26
law,sociology,politics,26
law,law,economics,26
science,geography,history,26
economics,political,economy,26
classics,ancient,history,26
mainstream,section,typography,26
history,sociology,history,25
university,press,1997,25
university,press,2006,25
politics,gender,study,25
group,political,science,25
judaism,state,computer,25
political,economy,economic,25
sociology,social,science,25
history,law,economics,25
west,bank,political,25
science,history,geography,25
palestinian,refugee,camp,25
ancient,history,classics,25
mandatory,palestine,history,25
history,law,archaeology,25
google,scholar,holocaust,25
scholar,holocaust,genocide,25
sociology,social,psychology,24
university,press,1998,24
politics,computer,science,24
political,science,mathematics,24
study,law,political,24
policy,political,science,24
israeli,peace,process,24
law,sociology,political,24
science,public,administration,24
future,peace,process,24
history,geography,law,24
palestinian,future,peace,24
section,typography,middle,24
typography,middle,east,24
literature,art,culture,24
art,culture,book,24
culture,book,review,24
ancient,history,economic,23
occupation,west,bank,23
gender,study,psychology,23
ancient,history,theology,23
university,press,2003,23
palestinian,refugee,problem,23
university,press,2010,23
law,history,politics,23
palestinian,peace,process,23
science,law,political,23
one,state,solution,23
east,peace,process,23
israeli,conflict,law,23
israel,arab,world,23
economic,history,ancient,23
science,history,media,23
study,sociology,history,23
public,administration,history,23
religious,study,philosophy,23
science,human,right,23
political,science,content,23
sociology,law,computer,23
conflict,history,ancient,23
affect,palestinian,future,23
conversation,related,palestinian,23
related,palestinian,arab,23
computer,science,philosophy,22
ancient,history,psychology,22
art,history,art,22
sociology,law,political,22
sociology,library,science,22
university,press,2007,22
science,geography,law,22
identity,music,political,22
united,state,israel,22
ministry,foreign,affair,22
sociology,history,law,22
history,history,sociology,22
finance,political,science,22
war,political,science,22
ancient,history,middle,22
history,art,history,22
study,volume,issue,22
politics,section,typography,22
popular,conversation,related,22
represent,significant,cultural,22
significant,cultural,moment,22
cultural,moment,trend,22
advertising,computer,science,22
ancient,history,advertising,22
psychology,gender,study,21
political,science,economics,21
israeli,invasion,lebanon,21
computer,science,ancient,21
aesthetics,political,science,21
study,history,political,21
science,politics,law,21
ethnic,group,sociology,21
ethnic,group,political,21
social,psychology,law,21
social,psychology,political,21
immigrant,former,soviet,21
establishment,state,israel,21
science,sociology,history,21
study,religious,study,21
politics,ancient,history,21
science,history,sociology,21
science,palestinian,refugee,21
genealogy,political,science,21
egyptian,foreign,ministry,21
library,science,sociology,21
archaeology,ancient,history,21
british,journal,middle,21
journal,middle,eastern,21
genocide,study,volume,21
art,middle,east,21
content,popular,conversation,21
include,article,israeli,21
article,israeli,journalist,21
law,economics,law,20
politics,power,physics,20
political,science,epistemology,20
study,history,sociology,20
new,york,university,20
state,university,press,20
genocide,study,prevention,20
palestinian,arab,minority,20
political,economy,politics,20
gender,study,social,20
study,gender,study,20
context,archaeology,sociology,20
economy,sociology,history,20
economy,economic,history,20
ancient,history,religious,20
study,history,law,20
law,religious,study,20
palestine,middle,east,20
economics,law,sociology,20
science,art,history,20
zionism,political,science,20
palestinian,refugee,political,20
history,sociology,political,20
economy,history,sociology,20
bank,political,science,20
history,mandatory,palestine,20
israel,south,africa,20
political,science,human,20
television,online,source,20
online,source,provide,20
source,provide,u.s.,20
provide,u.s.,israeli,20
u.s.,israeli,arab,20
israeli,arab,international,20
arab,international,independent,20
palestine,global,comparative,20
security,political,science,19
arab,world,israel,19
law,sociology,economics,19
religious,study,ancient,19
university,press,1989,19
sociology,law,philosophy,19
computer,security,computer,19
security,computer,science,19
computer,science,business,19
oxford,new,york,19
university,press,2011,19
identity,music,gender,19
science,history,political,19
law,economics,political,19
politics,context,archaeology,19
israel,middle,east,19
settlement,finance,political,19
law,economic,history,19
east,arab,world,19
foundation,evidence,archaeology,19
library,science,political,19
science,law,archaeology,19
settlement,west,bank,19
history,geography,political,19
israel,search,other,19
geography,history,ancient,19
section,typography,political,19
political,science,section,19
science,section,typography,19
peace,process,more,19
update,most,relevant,19
most,relevant,source,19
relevant,source,cite,19
event,day,day,19
literature,art,book,19
art,book,review,19
political,science,power,18
history,law,computer,18
decision,make,process,18
israel,occupied,territory,18
university,press,2009,18
business,political,science,18
music,gender,study,18
partition,number,theory,18
political,economy,public,18
oslo,peace,process,18
classics,political,science,18
london,university,california,18
history,law,philosophy,18
science,development,economics,18
science,theology,philosophy,18
state,institute,peace,18
history,social,science,18
media,study,ancient,18
palestinian,national,movement,18
study,middle,east,18
history,sociology,ancient,18
history,state,computer,18
theology,religious,study,18
library,science,law,18
science,context,archaeology,18
international,independent,government,18
source,cite,jps,18
cite,jps,chronology,18
jps,chronology,section,18
palestine,palestinian,literature,18
palestinian,literature,art,18
literature,art,middle,18
world,israel,zionism,18
israel,zionism,recent,18
include,article,news,18
article,news,item,18
political,economy,economics,17
ideology,political,science,17
study,art,history,17
potential,conflict,interest,17
conflict,interest,report,17
israeli,arab,conflict,17
sociology,state,computer,17
study,social,science,17
1991,gulf,war,17
1967,arab,israeli,17
justice,political,science,17
development,economics,economics,17
sociology,theology,philosophy,17
history,development,economics,17
political,science,palestinian,17
literature,political,science,17
context,archaeology,political,17
history,sociology,politics,17
sociology,economic,history,17
palestine,history,political,17
science,law,anthropology,17
library,science,history,17
science,history,computer,17
paper,volume,issue,17
traditional,media,therefore,17
media,therefore,item,17
therefore,item,present,17
item,present,section,17
present,section,variety,17
section,variety,source,17
variety,source,select,17
draw,material,major,17
material,major,document,17
major,document,relate,17
document,relate,settlement,17
relate,settlement,appear,17
settlement,appear,document,17
appear,document,source,17
source,material,section,17
abstract,section,aim,17
computer,science,computer,16
science,politics,political,16
anthropology,political,science,16
1948,arab,israeli,16
violation,human,right,16
university,press,2014,16
university,press,2012,16
history,jewish,study,16
sociology,identity,music,16
geography,history,law,16
science,jewish,state,16
law,economics,economics,16
study,economic,history,16
political,science,development,16
egyptian,israeli,peace,16
study,law,history,16
cambridge,new,york,16
political,science,judaism,16
science,philosophy,law,16
history,history,archaeology,16
politics,law,political,16
philosophy,ancient,history,16
media,study,art,16
law,history,sociology,16
ancient,history,media,16
professor,political,science,16
journal,middle,east,16
west,bank,east,16
human,right,discourse,16
politics,identity,music,16
judaism,ethnic,group,16
computer,science,archaeology,16
library,science,media,16
law,international,law,16
economic,justice,political,16
palestinian,israeli,peace,16
supreme,court,israel,16
cloth,volume,issue,16
israeli,settler,colonialism,16
history,history,palestine,16
east,history,law,16
middle,east,foundation,16
east,foundation,evidence,16
science,gaza,strip,15
art,computer,science,15
engineering,computer,science,15
science,philosophy,archaeology,15
university,press,2002,15
law,history,political,15
first,world,war,15
man,search,meaning,15
university,press,2017,15
resistance,ecology,political,15
social,psychology,social,15
political,economy,gender,15
economy,gender,study,15
law,politics,economics,15
sociology,development,economics,15
relation,unite,state,15
economics,computer,science,15
sociology,public,administration,15
opposition,politics,political,15
political,science,jewish,15
psychology,computer,science,15
israeli,conflict,middle,15
modern,history,politics,15
history,law,art,15
gaza,strip,political,15
israeli,military,occupation,15
israeli,defense,force,15
judaism,jewish,state,15
government,linguistics,law,15
islamic,republic,iran,15
theology,ancient,history,15
law,library,science,15
article,show,how,15
u.s.,foreign,policy,15
science,law,art,15
south,africa,israel,15
classics,library,science,15
israel,journal,palestine,15
international,journal,middle,15
chronology,political,science,15
zionism,middle,east,15
israeli,conflict,quarter,15
available,mainstream,u.s.,15
mainstream,u.s.,media,15
social,psychology,gender,14
computer,security,political,14
sociology,art,history,14
york,london,routledge,14
university,press,2008,14
university,press,1987,14
european,journal,international,14
university,press,1991,14
science,politics,history,14
article,examine,how,14
relation,political,science,14
law,politics,philosophy,14
arab,citizen,israel,14
sociology,law,history,14
diplomacy,political,science,14
west,bank,israel,14
economics,sociology,law,14
nationalism,political,science,14
study,theology,philosophy,14
state,political,science,14
arab,israel,conflict,14
law,economics,philosophy,14
public,administration,political,14
gender,study,media,14
political,science,ethnology,14
political,science,gaza,14
ancient,history,economics,14
media,study,classics,14
philosophy,law,political,14
middle,east,economic,14
middle,eastern,country,14
west,bank,palestinian,14
science,sociology,political,14
nation,security,council,14
economy,public,administration,14
politics,history,ancient,14
science,law,theology,14
israeli,human,right,14
science,sociology,media,14
media,study,gender,14
right,law,political,14
bank,east,jerusalem,14
political,science,context,14
high,court,justice,14
political,science,geology,14
computer,science,library,14
history,content,measure,14
study,sociology,philosophy,14
law,philosophy,archaeology,14
history,public,administration,14
web,science,google,14
science,google,scholar,14
internal,personal,use,14
history,geography,palestine,14
palestine,study,right,14
section,typography,government,14
typography,government,linguistics,14
palestine,zionism,middle,14
middle,east,section,14
east,section,typography,14
palestine,zionism,politics,14
bibliography,list,article,14
chronology,archive,jps,14
palestine,section,typography,14
ancient,history,engineering,13
ancient,history,geology,13
play,important,role,13
law,art,history,13
science,sociology,politics,13
science,criminology,sociology,13
classics,media,study,13
new,york,new,13
religious,study,art,13
university,press,2020,13
university,press,2019,13
american,journal,international,13
york,university,press,13
university,press,2000,13
human,right,council,13
science,art,law,13
politics,sociology,political,13
social,science,political,13
settler,colonial,project,13
arab,middle,east,13
palestine,palestinian,refugee,13
foreign,policy,law,13
history,sociology,archaeology,13
economy,sociology,politics,13
state,middle,east,13
science,identity,music,13
media,study,religious,13
state,israel,palestinian,13
jewish,state,political,13
judaism,ancient,history,13
science,law,ancient,13
government,linguistics,history,13
civil,military,relation,13
palestine,israel,conflict,13
west,bank,israeli,13
policy,arab,israeli,13
political,science,literature,13
religious,study,media,13
study,tel,aviv,13
art,history,law,13
political,science,process,13
science,history,economic,13
history,history,politics,13
terrorism,political,science,13
series,israeli,study,13
palestine,law,political,13
american,university,beirut,13
economic,history,media,13
study,library,science,13
low,status,group,13
law,hebrew,university,13
convention,human,right,13
business,computer,science,13
conflict,law,history,13
activity,west,bank,13
science,settlement,finance,13
settler,colonial,study,13
science,palestine,history,13
ancient,history,genealogy,13
library,science,ancient,13
london,routledge,1993,13
history,palestine,history,13
settlement,middle,east,13
article,content,figure,13
content,figure,table,13
cite,search,site,13
search,site,citation,13
palestine,study,search,13
study,search,content,13
search,content,only,13
content,only,available,13
first,page,preview,13
page,preview,close,13
have,access,content,13
great,march,return,13
section,typography,history,13
archaeology,west,bank,13
day,day,jps,13
day,jps,chronology,13
jps,chronology,archive,13
reprint,mainstream,section,13
section,typography,selection,13
animal,right,movement,13
cross,border,politics,13
politics,democracy,political,12
israeli,foreign,policy,12
economics,economic,growth,12
history,theology,classics,12
new,york,basic,12
history,new,york,12
state,soviet,union,12
university,press,2021,12
law,tel,aviv,12
british,journal,sociology,12
human,right,politics,12
ecology,political,science,12
law,linguistics,philosophy,12
resistance,ecology,politics,12
article,explore,how,12
study,social,psychology,12
social,economic,political,12
study,identity,music,12
science,history,archaeology,12
power,physics,politics,12
solution,israeli,palestinian,12
israeli,conflict,palestine,12
science,spanish,civil,12
economics,sociology,economics,12
area,west,bank,12
israel,arab,state,12
israel,palestine,liberation,12
law,government,linguistics,12
israeli,peace,treaty,12
administration,political,economy,12
jewish,community,palestine,12
institute,peace,press,12
science,history,philosophy,12
israeli,national,identity,12
civil,war,law,12
israeli,palestinian,negotiation,12
arab,israeli,military,12
israeli,military,balance,12
1967,war,israel,12
law,middle,east,12
final,status,issue,12
history,geography,ancient,12
post,world,war,12
law,economics,politics,12
civil,war,political,12
politics,government,linguistics,12
classics,religious,study,12
iran,saudi,arabia,12
middle,east,new,12
war,middle,east,12
middle,east,journal,12
economic,history,theology,12
human,right,movement,12
psychology,psychology,law,12
social,psychology,sociology,12
history,sociology,art,12
download,political,science,12
art,history,media,12
report,high,level,12
art,art,history,12
human,right,international,12
european,convention,human,12
political,economy,geography,12
university,press,1988,12
settlement,activity,west,12
political,science,population,12
politics,palestine,political,12
u.s.,israeli,relation,12
jerusalem,israel,university,12
israel,university,press,12
economy,law,history,12
west,bank,politics,12
judaism,religious,study,12
report,human,right,12
science,geography,ancient,12
palestine,study,1982,12
palestine,study,november,12
study,november,1982,12
1982,institute,palestine,12
article,content,university,12
content,university,california,12
california,press,reprint,12
press,reprint,permission,12
reprint,permission,web,12
permission,web,page,12
diplomacy,palestine,chronology,12
palestine,chronology,political,12
hold,new,dynamic,12
reprint,mainstream,selection,12
animal,right,activism,12
adopt,war,paradigm,12
center,ben,gurion,12
israel,arab,neighbor,11
geology,political,science,11
history,computer,security,11
end,cold,war,11
context,archaeology,history,11
science,order,exchange,11
york,basic,book,11
politics,new,york,11
media,study,theology,11
science,archaeology,law,11
art,history,philosophy,11
mathematics,political,science,11
right,human,right,11
politics,foreign,policy,11
child,survivor,holocaust,11
law,politics,political,11
identity,identity,music,11
psychology,law,psychology,11
gender,study,politics,11
power,physics,law,11
law,social,psychology,11
humanity,political,science,11
computer,science,judaism,11
political,science,immigration,11
law,politics,history,11
epistemology,political,science,11
law,philosophy,politics,11
arab,jew,israel,11
gulf,cooperation,council,11
political,science,spanish,11
october,1973,war,11
east,political,economy,11
science,law,public,11
post,cold,war,11
iran,nuclear,program,11
treaty,political,science,11
iran,foreign,policy,11
political,science,demography,11
gaza,west,bank,11
palestinian,refugee,property,11
development,economics,history,11
population,political,science,11
sociology,history,philosophy,11
1982,israeli,invasion,11
political,science,democracy,11
law,sociology,computer,11
law,art,philosophy,11
arab,israeli,dispute,11
history,archaeology,law,11
economics,law,economics,11
economy,history,law,11
unite,nation,security,11
religious,study,classics,11
saudi,arabia,iran,11
science,history,classics,11
center,middle,eastern,11
process,take,place,11
lebanese,civil,war,11
history,classics,ancient,11
political,science,genealogy,11
law,economics,public,11
history,philosophy,archaeology,11
study,computer,science,11
political,science,download,11
supreme,court,law,11
google,scholar,european,11
science,international,law,11
power,physics,sociology,11
violation,international,law,11
gaza,strip,ancient,11
strip,ancient,history,11
israeli,peace,negotiation,11
criminology,ancient,history,11
gender,base,violence,11
human,right,israel,11
measure,theory,media,11
theory,media,study,11
computer,science,advertising,11
east,law,history,11
peace,new,york,11
genealogy,ancient,history,11
media,study,economic,11
mandatory,palestine,ancient,11
study,sociology,ancient,11
israel,case,study,11
history,west,bank,11
science,classics,law,11
history,classics,library,11
study,sociology,classics,11
research,interest,include,11
geography,palestine,ancient,11
archaeology,history,geography,11
gaza,strip,history,11
advertising,law,business,11
zionism,palestine,politics,11
israeli,conflict,hold,11
abstract,section,cover,11
international,arab,israeli,11
arab,israeli,u.s.,11
israeli,u.s.,document,11
u.s.,document,source,11
geography,library,science,11
history,advertising,computer,11
section,typography,hebrew,11
political,economy,state,10
computer,science,economics,10
soviet,union,political,10
history,history,art,10
computer,science,medicine,10
image,size,note,10
university,press,1986,10
ed.,new,york,10
german,political,science,10
international,law,law,10
american,political,science,10
israel,new,york,10
york,new,york,10
sociology,law,ancient,10
university,press,2015,10
state,israel,1948,10
conflict,israel,palestinian,10
gender,study,ethnic,10
israel,jewish,state,10
group,gender,study,10
sociology,ethnic,group,10
science,ethnic,group,10
immigration,ethnic,group,10
science,law,psychology,10
middle,eastern,north,10
eastern,north,african,10
israel,palestinian,territory,10
social,science,geography,10
politics,jewish,identity,10
high,school,student,10
law,jewish,state,10
state,state,computer,10
ethnic,group,judaism,10
study,law,philosophy,10
jewish,democratic,state,10
national,security,council,10
science,criminology,history,10
israel,prime,minister,10
palestinian,liberation,organization,10
criminal,justice,system,10
middle,east,foreign,10
economics,economics,law,10
international,crisis,group,10
history,classics,political,10
arab,state,israel,10
psychology,ancient,history,10
american,israel,public,10
sociology,politics,history,10
public,administration,politics,10
arab,israeli,negotiation,10
independent,palestinian,state,10
prime,minister,political,10
minister,political,science,10
study,history,ancient,10
science,history,religious,10
israeli,peace,movement,10
israel,jordan,palestinian,10
law,economic,justice,10
economic,justice,sociology,10
one,most,important,10
new,york,state,10
unite,state,institute,10
past,two,decade,10
history,philosophy,theology,10
law,power,physics,10
political,economy,israel,10
political,economy,economy,10
sociology,history,political,10
history,palestine,ancient,10
sociology,history,archaeology,10
first,arab,israeli,10
administration,law,sociology,10
american,foreign,policy,10
politics,economic,history,10
science,business,law,10
iran,unite,state,10
history,law,psychology,10
second,palestinian,intifada,10
central,intelligence,agency,10
history,politics,philosophy,10
immigration,political,science,10
history,philosophy,linguistics,10
press,hebrew,university,10
theology,law,philosophy,10
israeli,palestinian,relation,10
demographic,economics,political,10
art,ancient,history,10
economics,ancient,history,10
old,city,jerusalem,10
history,history,economic,10
philosophy,art,history,10
context,archaeology,politics,10
political,science,linguistics,10
diplomacy,middle,east,10
sociology,human,right,10
america,middle,east,10
geography,history,archaeology,10
criminology,sociology,law,10
economy,state,computer,10
economic,history,archaeology,10
middle,east,islam,10
science,law,criminology,10
anthropology,computer,science,10
history,geography,archaeology,10
gender,study,ancient,10
psychology,sociology,political,10
economics,social,science,10
wide,web,computer,10
web,computer,science,10
philosophy,world,wide,10
law,politics,computer,10
political,science,ethnic,10
judaism,identity,music,10
science,law,law,10
history,classics,law,10
human,right,treaty,10
international,law,sociology,10
linguistics,computer,science,10
law,politics,archaeology,10
context,archaeology,law,10
review,volume,issue,10
israel,law,review,10
court,political,science,10
administration,sociology,law,10
abstract,study,examine,10
human,right,education,10
index,typography,political,10
research,comparative,law,10
commission,political,science,10
political,science,settlement,10
tel,aviv,political,10
aviv,political,science,10
measure,theory,history,10
israeli,occupy,west,10
political,economy,palestine,10
abstract,article,examine,10
sociology,demographic,economics,10
science,palestine,law,10
palestine,journal,palestine,10
perception,arab,israeli,10
other,november,1982,10
israeli,conflict,arabic,10
east,arab,israeli,10
history,palestine,computer,10
palestine,computer,science,10
zionism,politics,section,10
range,concern,attitude,10
concern,attitude,regional,10
attitude,regional,actor,10
israeli,conflict,increasingly,10
