word,count,upos,ner
ethnic,961,ADJ;NOUN;PROPN,ORG;WORK_OF_ART;NORP;EVENT;GPE
analysis,959,NOUN;PROPN,ORG;EVENT;WORK_OF_ART;LAW
case,951,NOUN;PROPN,WORK_OF_ART;ORG;PERSON;LAW;EVENT
media,950,NOUN;PROPN,ORG;WORK_OF_ART
include,929,VERB,
well,909,ADV;INTJ;NOUN;ADJ;PROPN,WORK_OF_ART
such,900,ADJ,WORK_OF_ART
art,893,NOUN;PROPN,ORG;PERSON;WORK_OF_ART;FAC
when,883,ADV,WORK_OF_ART;LAW
author,881,NOUN;VERB;PROPN,WORK_OF_ART
context,879,NOUN;PROPN;VERB,WORK_OF_ART;ORG;LAW
jerusalem,879,PROPN;X,GPE;ORG;WORK_OF_ART;LOC;NORP;PERSON;FAC;EVENT
research,877,NOUN;PROPN;VERB,WORK_OF_ART;ORG;LAW
only,866,ADV;ADJ,DATE;CARDINAL;PERCENT;TIME;WORK_OF_ART;QUANTITY
geography,850,PROPN;NOUN,WORK_OF_ART;ORG;LOC
examine,843,VERB;X,
gender,831,NOUN;PROPN;VERB,WORK_OF_ART;NORP;ORG;PERSON
settlement,829,NOUN;PROPN,LAW;WORK_OF_ART;ORG;EVENT
development,827,NOUN;PROPN,WORK_OF_ART;LAW;ORG;EVENT
time,819,NOUN;PROPN;VERB,EVENT;WORK_OF_ART;ORG;LAW
paper,818,NOUN;PROPN,WORK_OF_ART;EVENT
bank,810,PROPN;NOUN;VERB,GPE;LOC;ORG;WORK_OF_ART;NORP
person,805,NOUN;PROPN,WORK_OF_ART;LAW
report,804,NOUN;PROPN;VERB,WORK_OF_ART;ORG;EVENT;LAW
country,793,NOUN;PROPN,WORK_OF_ART;EVENT;ORG
london,787,PROPN,WORK_OF_ART;GPE;ORG;EVENT;PERSON
foreign,786,ADJ;NOUN,ORG;WORK_OF_ART;LAW;EVENT
community,786,NOUN;PROPN,WORK_OF_ART;ORG;LOC;EVENT
gaza,775,PROPN;X,GPE;WORK_OF_ART;PERSON;NORP;EVENT;LAW;ORG;FAC;LOC
