author_id,author_name,journal_id,journal_name,specific_works,total_works
A5065339333,Judith Miller,S88529193,Journal of Palestine Studies,2,2
A5065414319,Aaron Cohen,S173252385,The British Journal of Sociology (BJS),2,2
A5065414732,Andrew Clark,S184885884,Middle East Journal,1,4
A5065437488,Paul Gaston Aaron,S88529193,Journal of Palestine Studies,4,5
A5065442850,Alon Kadish,S184885884,Middle East Journal,1,1
A5065464450,Ruth Margolies Beitler,S184885884,Middle East Journal,1,1
A5065487029,Alejandro I. Paz,S102499938,American Anthropologist,0,1
A5065487029,Alejandro I. Paz,S87435064,International Journal of Middle East Studies (IJMES),1,1
A5065510908,John E. Hofman,S141739696,Patterns of Prejudice,1,1
A5065510908,John E. Hofman,S29984966,Journal of Personality and Social Psychology (JPSP),3,3
A5065528439,Rainer Bauböck,S141739696,Patterns of Prejudice,1,1
A5065528439,Rainer Bauböck,S149872823,Journal of Ethnic and Migration Studies (JEMS),0,5
A5065528439,Rainer Bauböck,S189112142,Ethnicities,0,3
A5065528439,Rainer Bauböck,S64143016,Constellations,0,1
A5065528439,Rainer Bauböck,S96629499,Ethnic and Racial Studies,1,1
A5065641104,Erik Allardt,S157620343,American Sociological Review (ASR),0,6
A5065641104,Erik Allardt,S176007004,American Political Science Review (APSR),0,1
A5065641104,Erik Allardt,S96629499,Ethnic and Racial Studies,1,1
A5065643250,Martin Feinrider,S160097506,American Journal of International Law (AJIL),1,2
A5065679495,Lynn Rapaport,S122471516,American Journal of Sociology (AJS),0,3
A5065679495,Lynn Rapaport,S452692,Holocaust and Genocide Studies (HGS),2,8
A5065710383,Douglas Holdstock,S139935717,International Journal of Human Rights (IJHR),1,2
A5065732714,Umayyah Cable,S88529193,Journal of Palestine Studies,1,1
A5065828308,Christian Gudehus,S141456655,Genocide Studies and Prevention: An International Journal (GSP),1,19
A5065828308,Christian Gudehus,S144836642,Memory Studies,0,2
A5065828308,Christian Gudehus,S59071098,Journal of Genocide Research (JGR),0,1
A5065833163,Nadav Gabay,S173252385,The British Journal of Sociology (BJS),0,1
A5065833163,Nadav Gabay,S603496,"Social Identities: Journal for the Study of Race, Nation and Culture",1,1
A5065837760,Joe V. Montville,S184885884,Middle East Journal,1,1
A5065843118,James H. Lebovic,S176007004,American Political Science Review (APSR),0,2
A5065843118,James H. Lebovic,S90314269,American Journal of Political Science (AJPS),0,1
A5065843118,James H. Lebovic,S95650557,Journal of Politics (JOP),1,1
A5065843753,David Schraub,S176007004,American Political Science Review (APSR),0,1
A5065843753,David Schraub,S96629499,Ethnic and Racial Studies,1,1
A5065948843,Ori Mautner,S102499938,American Anthropologist,1,1
A5065948843,Ori Mautner,S165709033,Current Anthropology,0,1
A5065948843,Ori Mautner,S65256140,Journal of the Royal Anthropological Institute (JRAI),1,2
A5065948843,Ori Mautner,S96629499,Ethnic and Racial Studies,1,1
A5065962039,Smadar Lavie,S22506700,Cultural Anthropology,0,1
A5065962039,Smadar Lavie,S25593863,Cultural Studies,1,2
A5065962972,Munir Fakher Eldin,S88529193,Journal of Palestine Studies,1,1
A5065985022,William Schabas,S154337186,Leiden Journal of International Law (LJIL),1,1
A5065985022,William Schabas,S175405714,European Journal of International Law (EJIL),0,1
A5065999878,Karla J. Cunningham,S184885884,Middle East Journal,1,1
A5066030554,Lawrence Mosher,S88529193,Journal of Palestine Studies,2,2
A5066069899,Akram Hanieh,S88529193,Journal of Palestine Studies,1,1
A5066121642,Ray Takeyh,S184885884,Middle East Journal,2,4
A5066158766,Leonard J. Fein,S141739696,Patterns of Prejudice,0,1
A5066158766,Leonard J. Fein,S176007004,American Political Science Review (APSR),1,2
A5066203892,Gabriel Huland,S88529193,Journal of Palestine Studies,1,1
A5066219584,Natividad Gutiérrez,S96629499,Ethnic and Racial Studies,1,2
A5066220725,Steven Kaplan,S184885884,Middle East Journal,2,2
A5066220725,Steven Kaplan,S603496,"Social Identities: Journal for the Study of Race, Nation and Culture",1,1
A5066271836,Amr Kamal,S87435064,International Journal of Middle East Studies (IJMES),1,1
A5066272862,John K. Speer,S156235965,International & Comparative Law Quarterly (ICLQ),0,1
A5066272862,John K. Speer,S160097506,American Journal of International Law (AJIL),1,2
A5066305567,William Mark Habeeb,S87435064,International Journal of Middle East Studies (IJMES),1,2
A5066320280,Martin Crawford,S96629499,Ethnic and Racial Studies,1,1
A5066376698,Eugene Tartakovsky,S149872823,Journal of Ethnic and Migration Studies (JEMS),1,1
A5066388899,Gordon J. Horwitz,S452692,Holocaust and Genocide Studies (HGS),2,4
A5066424993,Philip A. Schrodt,S176007004,American Political Science Review (APSR),2,8
A5066424993,Philip A. Schrodt,S87435064,International Journal of Middle East Studies (IJMES),0,1
A5066424993,Philip A. Schrodt,S90314269,American Journal of Political Science (AJPS),0,4
A5066424993,Philip A. Schrodt,S95650557,Journal of Politics (JOP),0,3
A5066443302,Craig Daigle,S87435064,International Journal of Middle East Studies (IJMES),1,1
A5066456911,Marco Longobardo,S139935717,International Journal of Human Rights (IJHR),0,3
A5066456911,Marco Longobardo,S160097506,American Journal of International Law (AJIL),1,1
A5066456911,Marco Longobardo,S175405714,European Journal of International Law (EJIL),0,2
A5066513356,Jeffrey D. Reger,S88529193,Journal of Palestine Studies,1,1
