author_id,author_name,journal_id,journal_name,specific_works,total_works
A5061858415,Simona Sharoni,S87435064,International Journal of Middle East Studies (IJMES),1,1
A5061858415,Simona Sharoni,S88529193,Journal of Palestine Studies,3,7
A5061924239,Muna Hamzeh,S88529193,Journal of Palestine Studies,1,2
A5061946562,Claudia Wright,S88529193,Journal of Palestine Studies,3,12
A5061952551,Elizabeth Warnock Fernea,S102499938,American Anthropologist,0,1
A5061952551,Elizabeth Warnock Fernea,S184885884,Middle East Journal,0,3
A5061952551,Elizabeth Warnock Fernea,S65256140,Journal of the Royal Anthropological Institute (JRAI),1,1
A5061952551,Elizabeth Warnock Fernea,S87435064,International Journal of Middle East Studies (IJMES),0,5
A5062001512,Hila Zaban,S96629499,Ethnic and Racial Studies,1,1
A5062041452,Brenda Geiger,S117214891,International Criminal Justice Review,1,1
A5062089251,Peter Adler,S122471516,American Journal of Sociology (AJS),0,4
A5062089251,Peter Adler,S96629499,Ethnic and Racial Studies,1,1
A5062115016,Harry M. Rhea,S117214891,International Criminal Justice Review,1,3
A5062120525,Kali Rubaii,S22506700,Cultural Anthropology,0,1
A5062120525,Kali Rubaii,S87435064,International Journal of Middle East Studies (IJMES),1,1
A5062140968,Oded Marck,S199726014,British Journal of Middle Eastern Studies (BRISMES),1,1
A5062163710,Alon Lazar,S452692,Holocaust and Genocide Studies (HGS),1,1
